site,block,plot,species,div,c_i,flood,alive,date,last_herb,full_mort,fdate
Costa Rica,NA,6,peltatum,12,ind,no,0,01/23/15,,0,
Costa Rica,NA,7,nudifolium,2,clone,flood,0,01/23/15,,0,
Costa Rica,NA,10,peltatum,2,clone,flood,0,01/23/15,,0,
Costa Rica,NA,10,peltatum,2,clone,flood,0,01/23/15,,0,
Costa Rica,NA,14,peltatum,2,ind,flood,0,01/23/15,,0,
Costa Rica,NA,14,peltatum,2,ind,flood,0,01/23/15,,0,
Costa Rica,NA,17,garagaranum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,18,peltatum,2,clone,no,0,01/23/15,,0,
Costa Rica,NA,19,imperiale,2,ind,no,0,01/23/15,,0,
Costa Rica,NA,22,reticulatum,2,ind,no,0,01/23/15,,0,
Costa Rica,NA,23,imperiale,1,clone,no,0,01/23/15,,0,
Costa Rica,NA,26,reticulatum,1,clone,no,0,01/23/15,,0,
Costa Rica,NA,26,reticulatum,1,clone,no,0,01/23/15,,0,
Costa Rica,NA,28,urostachyum,1,ind,no,0,01/23/15,,0,
Costa Rica,NA,30,reticulatum,1,ind,no,0,01/23/15,,0,
Costa Rica,NA,30,reticulatum,1,ind,no,0,01/23/15,,0,
Costa Rica,NA,30,reticulatum,1,ind,no,0,01/23/15,,0,
Costa Rica,NA,7,imperiale,2,clone,flood,0,03/16/15,,0,
Costa Rica,NA,22,peltatum,2,ind,no,0,03/16/15,,0,
Costa Rica,NA,22,peltatum,2,ind,no,0,03/16/15,,0,
Costa Rica,NA,26,reticulatum,1,clone,no,0,03/16/15,,0,
Costa Rica,NA,1,arboreum,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,1,decurrens,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,1,garagaranum,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,1,sancti-felicis,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,3,biolleyi,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,3,multiplinervium,12,ind,flood,0,05/22/15,,0,
Costa Rica,NA,3,nudifolium,12,ind,flood,0,05/22/15,,0,
