"year","variable","value"
1958,"1",274.6
1959,"1",88.2
1960,"1",314.6
1961,"1",122.9
1962,"1",396.8
1963,"1",269.8
1964,"1",154.7
1965,"1",568.6
1966,"1",441.7
1967,"1",421.1
1968,"1",495.6
1969,"1",220.5
1970,"1",222.8
1971,"1",533.2
1972,"1",626.7
1973,"1",287.9
1974,"1",293
1975,"1",154.4
1976,"1",351
1977,"1",157.9
1978,"1",165
1979,"1",211
1980,"1",287.1
1981,"1",527.2
1982,"1",82
1983,"1",289.2
1984,"1",271.4
1985,"1",84.3
1986,"1",215.3
1987,"1",243.3
1988,"1",372.8
1989,"1",333.4
1990,"1",496.9
1991,"1",100.1
1992,"1",125.8
1993,"1",139.2
1994,"1",131.8
1995,"1",93.1
1996,"1",204.4
1997,"1",72.1
1998,"1",115.9
1999,"1",301
2000,"1",592.6
2001,"1",345.9
2002,"1",351.7
2003,"1",385
2004,"1",235.9
2005,"1",687.2
2006,"1",485.9
2007,"1",284.4
2008,"1",328.6
2009,"1",327.4
2010,"1",268.7
2011,"1",384.8
2012,"1",134.5
2013,"1",61.8
2014,"1",194.9
2015,"1",681.3
2016,"1",202.2
2017,"1",405.6
2018,"1",557.2
1958,"2",496.9
1959,"2",135.4
1960,"2",285.1
1961,"2",44
1962,"2",113.4
1963,"2",169.4
1964,"2",48.4
1965,"2",265.3
1966,"2",301.2
1967,"2",117.9
1968,"2",141.3
1969,"2",118.8
1970,"2",518.4
1971,"2",144.7
1972,"2",197.7
1973,"2",154.8
1974,"2",207.8
1975,"2",113.8
1976,"2",173
1977,"2",139.2
1978,"2",302.9
1979,"2",167.4
1980,"2",195.8
1981,"2",312.3
1982,"2",144.8
1983,"2",150.8
1984,"2",209.9
1985,"2",232.7
1986,"2",80.5
1987,"2",64.9
1988,"2",275.7
1989,"2",132.8
1990,"2",89.1
1991,"2",231.7
1992,"2",202.5
1993,"2",123.3
1994,"2",55.7
1995,"2",152.9
1996,"2",453.2
1997,"2",525
1998,"2",34.6
1999,"2",143.7
2000,"2",487.6
2001,"2",103
2002,"2",140.7
2003,"2",103.8
2004,"2",295
2005,"2",287
2006,"2",239.9
2007,"2",144.6
2008,"2",76.6
2009,"2",522
2010,"2",458.2
2011,"2",284.2
2012,"2",81.5
2013,"2",82.9
2014,"2",73.6
2015,"2",273.5
2016,"2",202.6
2017,"2",145.4
2018,"2",266
1958,"3",241.5
1959,"3",155.7
1960,"3",206.1
1961,"3",48.6
1962,"3",86.3
1963,"3",363.1
1964,"3",162.6
1965,"3",221.5
1966,"3",356.4
1967,"3",121.9
1968,"3",336.5
1969,"3",152
1970,"3",236.7
1971,"3",201.9
1972,"3",84.6
1973,"3",40.9
1974,"3",139.5
1975,"3",190.7
1976,"3",132.8
1977,"3",176.4
1978,"3",239.4
1979,"3",232.9
1980,"3",42
1981,"3",239.8
1982,"3",77.5
1983,"3",134.3
1984,"3",148
1985,"3",83.3
1986,"3",211.8
1987,"3",21.1
1988,"3",216.7
1989,"3",108.5
1990,"3",290.2
1991,"3",69
1992,"3",99.7
1993,"3",135.6
1994,"3",52.9
1995,"3",120.4
1996,"3",228.3
1997,"3",153.6
1998,"3",137.8
1999,"3",137.3
2000,"3",90.4
2001,"3",109.5
2002,"3",132
2003,"3",45
2004,"3",423.1
2005,"3",57.6
2006,"3",433.3
2007,"3",197.3
2008,"3",67.8
2009,"3",423.8
2010,"3",342.9
2011,"3",177.5
2012,"3",209.8
2013,"3",305.4
2014,"3",68.6
2015,"3",198.9
2016,"3",124.1
2017,"3",203
2018,"3",197.8
1958,"4",72.7
1959,"4",288.9
1960,"4",156.5
1961,"4",52.6
1962,"4",246.6
1963,"4",591.9
1964,"4",130.7
1965,"4",60.5
1966,"4",402.2
1967,"4",460.2
1968,"4",412.4
1969,"4",144.3
1970,"4",549.6
