"site","block","plot","plant_code","plant","species","div","c_i","flood","canopy_openness","experiment_final_intermediate","alt","alat","Geometridae/eois_herbivory","Apatelodidae_herbivory","h_div","a_div","herbivory","nlvs_per_ind","plot_richness","dif","divf","final_div","pdiv","precip","temp","finalf","pres","vari","floodn","clonen"
"Brazil","1","A1","429","Brazil_A1_429","corcovadense",3,"clone","no",NA,"final",NA,NA,0,0,0.650022421648354,2,30,2,NA,NA,"high",2,1,NA,NA,"medium",100,112.5,0,0
"Brazil","1","A1","429","Brazil_A1_429","corcovadense",3,"clone","no",NA,"final",NA,NA,10,0,0.78358070404881,3,15,2,NA,NA,"high",2,1,NA,NA,"medium",100,112.5,0,0
"Brazil","1","A1","430","Brazil_A1_430","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.886859507142915,3,40,2,NA,NA,"high",2,1,NA,NA,"medium",100,242,0,0
"Brazil","1","A1","430","Brazil_A1_430","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.650022421648354,2,18,2,NA,NA,"high",2,1,NA,NA,"medium",100,242,0,0
"Brazil","1","A1","431","Brazil_A1_431","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.811278124459133,2,20,5,NA,NA,"high",2,1,NA,NA,"medium",100,18.8,0,0
"Brazil","1","A1","431","Brazil_A1_431","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.591672778582327,2,14,5,NA,NA,"high",2,1,NA,NA,"medium",100,18.8,0,0
"Brazil","1","A1","431","Brazil_A1_431","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.543564443199596,2,8,5,NA,NA,"high",2,1,NA,NA,"medium",100,18.8,0,0
"Brazil","1","A1","431","Brazil_A1_431","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,0.591672778582327,2,14,5,NA,NA,"high",2,1,NA,NA,"medium",100,18.8,0,0
"Brazil","1","A1","431","Brazil_A1_431","vicosanum",3,"clone","no",NA,"final",NA,NA,0,0,NA,1,16,5,NA,NA,"high",2,1,NA,NA,"medium",100,18.8,0,0
"Brazil","1","B1","415","Brazil_B1_415","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,14,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,90.3333333333333,0,0
"Brazil","1","B1","415","Brazil_B1_415","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,5,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,90.3333333333333,0,0
"Brazil","1","B1","415","Brazil_B1_415","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,24,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,90.3333333333333,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,0,1,6,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,0,1,35,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,75,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,0.811278124459133,2,8,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,2,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,0,1,60,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","417","Brazil_B1_417","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,30,7,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,798.142857142857,0,0
"Brazil","1","B1","418","Brazil_B1_418","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,1,2,60,1,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,NA,0,0
"Brazil","1","B1","419","Brazil_B1_419","corcovadense",1,"clone","no",NA,"final",NA,NA,0,68,0.187176256873208,2,70,2,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,12.5,0,0
"Brazil","1","B1","419","Brazil_B1_419","corcovadense",1,"clone","no",NA,"final",NA,NA,0,75,NA,1,75,2,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,12.5,0,0
"Brazil","1","B1","420","Brazil_B1_420","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,6,5,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,385.3,0,0
"Brazil","1","B1","420","Brazil_B1_420","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,8,5,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,385.3,0,0
"Brazil","1","B1","420","Brazil_B1_420","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,3,5,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,385.3,0,0
"Brazil","1","B1","420","Brazil_B1_420","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,25,5,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,385.3,0,0
"Brazil","1","B1","420","Brazil_B1_420","corcovadense",1,"clone","no",NA,"final",NA,NA,0,0,0.468995593589281,2,50,5,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,385.3,0,0
"Brazil","1","C1","441","Brazil_C1_441","lepturum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,18,1,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,NA,0,0
"Brazil","1","D1","404","Brazil_D1_404","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,70,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,971.666666666667,0,0
"Brazil","1","D1","404","Brazil_D1_404","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.650022421648354,2,12,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,971.666666666667,0,0
"Brazil","1","D1","404","Brazil_D1_404","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,8,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,971.666666666667,0,0
"Brazil","1","D1","404","Brazil_D1_404","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,4,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,971.666666666667,0,0
"Brazil","1","D1","405","Brazil_D1_405","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.721928094887362,2,20,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,6.33333333333333,0,0
"Brazil","1","D1","405","Brazil_D1_405","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.566509506552905,2,23,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,6.33333333333333,0,0
"Brazil","1","D1","405","Brazil_D1_405","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,25,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,6.33333333333333,0,0
"Brazil","1","D1","453","Brazil_D1_453","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.721928094887362,2,10,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,475,0,0
"Brazil","1","D1","453","Brazil_D1_453","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.81766529986257,3,45,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,475,0,0
"Brazil","1","D1","453","Brazil_D1_453","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.522559374536941,2,50,3,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,475,0,0
"Brazil","1","D1","454","Brazil_D1_454","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,0.985228136034252,2,7,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,80.9166666666667,0,0
"Brazil","1","D1","454","Brazil_D1_454","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,4,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,80.9166666666667,0,0
"Brazil","1","D1","454","Brazil_D1_454","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,24,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,80.9166666666667,0,0
"Brazil","1","D1","454","Brazil_D1_454","vicosanum",1,"clone","no",NA,"final",NA,NA,0,0,NA,1,8,4,NA,NA,"low",1,0.333333333333333,NA,NA,"low",100,80.9166666666667,0,0
"Brazil","1","E1","409","Brazil_E1_409","lepturum",3,"ind","no",NA,"final",NA,NA,0,0,0.991076059838222,2,18,2,NA,NA,"high",2,1,NA,NA,"medium",100,32,0,1
"Brazil","1","E1","409","Brazil_E1_409","lepturum",3,"ind","no",NA,"final",NA,NA,0,0,NA,1,10,2,NA,NA,"high",2,1,NA,NA,"medium",100,32,0,1
"Brazil","1","E1","411","Brazil_E1_411","lepturum",3,"ind","no",NA,"final",NA,NA,0,0,0.985056822321508,3,18,2,NA,NA,"high",2,1,NA,NA,"medium",100,112.5,0,1
"Brazil","1","E1","411","Brazil_E1_411","lepturum",3,"ind","no",NA,"final",NA,NA,0,0,NA,1,3,2,NA,NA,"high",2,1,NA,NA,"medium",100,112.5,0,1
"Brazil","1","E1","412","Brazil_E1_412","vicosanum",3,"ind","no",NA,"final",NA,NA,0,0,NA,1,4,2,NA,NA,"high",2,1,NA,NA,"medium",100,2520.5,0,1
"Brazil","1","E1","412","Brazil_E1_412","vicosanum",3,"ind","no",NA,"final",NA,NA,0,0,0.177389453185997,2,75,2,NA,NA,"high",2,1,NA,NA,"medium",100,2520.5,0,1
