placeholder,site,plant_code,species,block,plot,div,c_i,flood,canopy_openness,date,experiment_observation,notes,species2,plant_code2,experiment_final_intermediate,nlvs_per_ind,wilmer_code,wilmer_herb_total,wilmer_lep1_ID,wilmer_lep1_perc,wilmer_lep2_ID,wilmer_lep2_perc,wilmer_coleop1_ID,wilmer_coleop1_perc,wilmer_coleop2_ID,wilmer_coleop2_perc,wilmer_other1_ID,wilmer_other1_perc,wilmer_other2_ID,wilmer_other2_perc,wilmer_notes,wilmer_notes_perc_UNCLEAR,wilmer_spec_total_lf,wilmer_gen_total_lf,wilmer_spec_total_plant,wilmer_gen_total_plant,wilmer_rich_lf,wilmer_rich_plant,field_specialist,field_generalist,field_eois,field_num_other_leps,field_quadrus,
3608,mogi,t99,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3607,mogi,t98,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3606,mogi,t97,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,1.25,NA,NA,NA,
3605,mogi,t96,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125,0,NA,NA,NA,
3604,mogi,t95,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285714286,2.857142857,NA,NA,NA,
3603,mogi,t94,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,
3602,mogi,t93,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,3.75,NA,NA,NA,
3601,mogi,t92,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3600,mogi,t91,arboreum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,
3599,mogi,t90,gaudichaudianum,NA,5,NA,NA,NA,29.38,18.12.16,obs,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255319149,2.659574468,NA,NA,NA,
