"","site","block","plot","plant","date","herb","rich"
"1",NA,NA,NA,NA,NA,NA,NA
"2","mogi",1,"8","2300","three",20.6666666666667,2
"3","mogi",1,"8","1473","three",16.6666666666667,1
"4","mogi",1,"8","1470","three",0.5,1
"5","mogi",1,"8","1469","three",38,1
"6","mogi",1,"8","1460","three",26.6666666666667,1
"7","mogi",1,"8","1453","three",0.25,1
"8","mogi",1,"8","1451","three",23.75,1
"9","mogi",1,"8","1446","three",40,1
"10","mogi",1,"8","1436","three",0,0
"11","mogi",1,"8","1425","three",16.6666666666667,1
"12","mogi",1,"8","2300","one",30.5,2
"13","mogi",1,"8","1473","one",50,2
"14","mogi",1,"8","1470","one",34.7142857142857,2
"15","mogi",1,"8","1469","one",46.375,1
"16","mogi",1,"8","1460","one",36.6666666666667,1
"17","mogi",1,"8","1453","one",6.375,2
"18","mogi",1,"8","1451","one",34,2
"19","mogi",1,"8","1446","one",22.4,2
"20","mogi",1,"8","1436","one",0,0
"21","mogi",1,"8","1425","one",26.5,2
"22","mogi",1,"8","1419","one",50,2
"23","mogi",1,"8","2300","two",40.5,2
"24","mogi",1,"8","1473","two",54,1
"25","mogi",1,"8","1470","two",0,0
"26","mogi",1,"8","1469","two",44.1666666666667,1
"27","mogi",1,"8","1453","two",0.25,1
"28","mogi",1,"8","1451","two",33.6,1
"29","mogi",1,"8","1446","two",21.6,2
"30","mogi",1,"8","1436","two",0,0
"31","mogi",1,"8","1425","two",24,1
"32","mogi",1,"8","1419","two",55,2
"33","mogi",1,"8","2300","final",0.333333333333333,1
"34","mogi",1,"8","1473","final",0,0
"35","mogi",1,"8","1470","final",0,0
"36","mogi",1,"8","1469","final",0.075,1
"37","mogi",1,"8","1460","final",28.3333333333333,2
"38","mogi",1,"8","1451","final",4.545454545,0
"39","mogi",1,"8","1446","final",0,0
"40","mogi",1,"8","1436","final",1.5,1
"41","mogi",1,"8","1425","final",12.6666666666667,1
"42","mogi",1,"8","1419","final",1.25,1
"43","mogi",1,"5","2282","four",15.8333333333333,2
"44","mogi",1,"5","2207","four",15.1666666666667,2
"45","mogi",1,"5","1440","four",11.4,1
"46","mogi",1,"5","1429","four",0.333333333333333,1
"47","mogi",1,"5","1083","four",23.2,2
"48","mogi",1,"5","1073","four",3.66666666666667,2
"49","mogi",1,"5","1057","four",2.83333333333333,2
"50","mogi",1,"5","1021","four",10.4,2
"51","mogi",1,"5","1007","four",8.2,2
"52","mogi",1,"5","2282","three",16.6666666666667,1
"53","mogi",1,"5","2207","three",47.5,1
"54","mogi",1,"5","1440","three",15.7142857142857,1
"55","mogi",1,"5","1429","three",0.5,1
"56","mogi",1,"5","1083","three",26.6666666666667,1
"57","mogi",1,"5","1073","three",7.66666666666667,2
"58","mogi",1,"5","1057","three",1.25,2
"59","mogi",1,"5","1021","three",0,0
"60","mogi",1,"5","1007","three",5.85714285714286,2
"61","mogi",1,"5","2282","two",40,1
"62","mogi",1,"5","2207","two",30.6666666666667,1
"63","mogi",1,"5","1440","two",9,1
"64","mogi",1,"5","1429","two",1,1
"65","mogi",1,"5","1083","two",42.5,1
"66","mogi",1,"5","1073","two",4,1
"67","mogi",1,"5","1057","two",1.75,1
"68","mogi",1,"5","1021","two",6,1
"69","mogi",1,"5","1007","two",1.33333333333333,1
"70","mogi",1,"5","2282","final",4.66666666666667,1
"71","mogi",1,"5","2207","final",0.5,1
"72","mogi",1,"5","1440","final",13,2
"73","mogi",1,"5","1429","final",15.8,3
"74","mogi",1,"5","1073","final",2,2
"75","mogi",1,"5","1057","final",0.35,0
"76","mogi",1,"5","1021","final",22.6666666666667,1
"77","mogi",1,"5","1007","final",12,6
"78","mogi",1,"9","2213","one",2,1
"79","mogi",1,"9","1499","one",0,0
"80","mogi",1,"9","1496","one",3.5,2
"81","mogi",1,"9","1484","one",0,0
"82","mogi",1,"9","1482","one",3.5,2
"83","mogi",1,"9","1480","one",6,0
"84","mogi",1,"9","1479","one",3.5,1
"85","mogi",1,"9","1456","one",1.66666666666667,1
"86","mogi",1,"9","1452","one",4.66666666666667,0
"87","mogi",1,"9","1312","one",0,0
"88","mogi",1,"9","1499","three",0.333333333333333,1
"89","mogi",1,"9","1484","three",0,0
"90","mogi",1,"9","1482","three",3.25,1
"91","mogi",1,"9","1479","three",1.16666666666667,1
"92","mogi",1,"9","1456","three",0.75,0
"93","mogi",1,"9","1452","three",3,2
"94","mogi",1,"9","1409","three",1,0
"95","mogi",1,"9","1499","two",2,1
"96","mogi",1,"9","1484","two",3.71428571428571,2
"97","mogi",1,"9","1482","two",19.5,2
"98","mogi",1,"9","1480","two",0,0
"99","mogi",1,"9","1479","two",18.4,1
"100","mogi",1,"9","1456","two",3.5,2
"101","mogi",1,"9","1452","two",2,1
"102","mogi",1,"9","1409","two",1,1
"103","mogi",1,"9","1499","final",0.714285714285714,1
"104","mogi",1,"9","1482","final",8.42857142857143,3
"105","mogi",1,"9","1479","final",3.15789473684211,2
"106","mogi",1,"9","1456","final",4.33333333333333,1
"107","mogi",1,"9","1452","final",5.6,2
"108","mogi",1,"9","1409","final",2.375,2
"109","mogi",1,"6","2201","three",22.6,1
"110","mogi",1,"6","1478","three",0.4,1
"111","mogi",1,"6","1457","three",11,2
"112","mogi",1,"6","1444","three",0,0
"113","mogi",1,"6","1424","three",14.6666666666667,2
"114","mogi",1,"6","1385","three",28.5,1
"115","mogi",1,"6","1048","three",23.6,1
"116","mogi",1,"6","1008","three",9.42857142857143,2
"117","mogi",1,"6","2201","one",41.3333333333333,2
"118","mogi",1,"6","1478","one",0,0
"119","mogi",1,"6","1477","one",0,0
"120","mogi",1,"6","1457","one",4,2
"121","mogi",1,"6","1444","one",33.3333333333333,2
"122","mogi",1,"6","1424","one",25.5,3
"123","mogi",1,"6","1385","one",9.625,2
"124","mogi",1,"6","1048","one",40.5,1
"125","mogi",1,"6","1036","one",0,0
"126","mogi",1,"6","1008","one",20,2
"127","mogi",1,"6","2201","two",37.6666666666667,2
"128","mogi",1,"6","1478","two",0,0
"129","mogi",1,"6","1477","two",19.5,1
"130","mogi",1,"6","1457","two",12,1
"131","mogi",1,"6","1444","two",25,2
"132","mogi",1,"6","1424","two",15.5,2
"133","mogi",1,"6","1385","two",14,1
"134","mogi",1,"6","1048","two",42,1
"135","mogi",1,"6","1036","two",0,0
"136","mogi",1,"6","1008","two",19.5,2
"137","mogi",1,"6","1478","four",0,0
"138","mogi",1,"6","1477","four",10.5,2
"139","mogi",1,"6","1457","four",6.5,2
"140","mogi",1,"6","1385","four",16.6666666666667,1
"141","mogi",1,"6","1048","four",10.3333333333333,2
"142","mogi",1,"6","1008","four",8.81818181818182,1
"143","mogi",1,"6","1478","final",4.58333333333333,1
"144","mogi",1,"6","1477","final",5.53658536585366,2
