site,block,plot,plant_code,date,species,herb,surv_next,div,clone,flood,rich
Brazil,1,A1,427,1,L,25,1,3,0,0,3
Brazil,1,A1,427,2,L,25,0,3,0,0,3
Brazil,1,A1,428,1,M,18,1,3,0,0,2
Brazil,1,A1,428,2,M,16,0,3,0,0,4
Brazil,1,A1,429,1,M,16.3333333333333,1,3,0,0,5
Brazil,1,A1,429,2,M,16.3333333333333,1,3,0,0,5
Brazil,1,A1,430,1,V,19.2,1,3,0,0,3
Brazil,1,A1,430,2,V,22.2,1,3,0,0,3
Brazil,1,A1,431,1,V,12.5,1,3,0,0,2
Brazil,1,A1,431,2,V,10.4,1,3,0,0,2
Brazil,1,A1,432,1,L,0,0,3,0,0,0
Brazil,1,B1,413,1,M,0,1,1,0,0,0
Brazil,1,B1,413,2,M,2,0,1,0,0,2
Brazil,1,B1,415,1,M,14.3333333333333,1,1,0,0,1
Brazil,1,B1,415,2,M,14.3333333333333,1,1,0,0,1
Brazil,1,B1,417,1,M,24,1,1,0,0,4
Brazil,1,B1,417,2,M,24,1,1,0,0,4
Brazil,1,B1,418,1,M,0,1,1,0,0,0
Brazil,1,B1,418,2,M,0,1,1,0,0,0
Brazil,1,B1,419,1,M,0,1,1,0,0,0
Brazil,1,B1,419,2,M,58.3333333333333,1,1,0,0,3
Brazil,1,B1,420,1,M,27,1,1,0,0,2
Brazil,1,B1,420,2,M,27,1,1,0,0,2
Brazil,1,C1,439,1,L,5,1,1,0,0,2
Brazil,1,C1,439,2,L,5,0,1,0,0,2
Brazil,1,C1,440,1,L,13,1,1,0,0,3
Brazil,1,C1,440,2,L,14,0,1,0,0,2
Brazil,1,C1,441,1,L,9.2,1,1,0,0,3
Brazil,1,C1,441,2,L,13,1,1,0,0,1
Brazil,1,C1,442,1,L,0,1,1,0,0,0
Brazil,1,C1,442,2,L,10,0,1,0,0,1
Brazil,1,D1,404,1,V,0,1,1,0,0,0
Brazil,1,D1,404,2,V,50,1,1,0,0,1
Brazil,1,D1,405,1,V,18,1,1,0,0,1
Brazil,1,D1,405,2,V,18,1,1,0,0,1
Brazil,1,D1,406,1,V,0,1,1,0,0,0
Brazil,1,D1,406,2,V,13.5,0,1,0,0,2
Brazil,1,D1,408,1,V,0,1,1,0,0,0
Brazil,1,D1,408,2,V,13,0,1,0,0,2
Brazil,1,D1,453,1,V,11.3333333333333,1,1,0,0,2
Brazil,1,D1,453,2,V,17.25,1,1,0,0,3
Brazil,1,D1,454,1,V,0,1,1,0,0,0
Brazil,1,D1,454,2,V,9.75,1,1,0,0,2
Brazil,1,D1,455,1,V,18,1,1,0,0,2
Brazil,1,D1,455,2,V,18,0,1,0,0,2
Brazil,1,E1,409,1,L,0,1,3,1,0,0
Brazil,1,E1,409,2,L,7,1,3,1,0,1
Brazil,1,E1,411,1,L,3,1,3,1,0,1
Brazil,1,E1,411,2,L,3,1,3,1,0,1
Brazil,1,E1,412,1,V,27.4,1,3,1,0,2
Brazil,1,E1,412,2,V,31,1,3,1,0,4
Brazil,1,E1,445,1,V,0,1,3,1,0,0
Brazil,1,E1,445,2,V,23,1,3,1,0,2
Brazil,1,E1,451,1,M,50,1,3,1,0,1
Brazil,1,E1,451,2,M,50,0,3,1,0,1
Brazil,1,F1,397,1,M,0,1,1,1,0,0
Brazil,1,F1,397,2,M,42.5,1,1,1,0,1
Brazil,1,F1,398,1,M,0,1,1,1,0,0
Brazil,1,F1,398,2,M,9,1,1,1,0,1
Brazil,1,F1,401,1,M,0,1,1,1,0,0
Brazil,1,F1,401,2,M,25,0,1,1,0,1
Brazil,1,F1,402,1,M,0,1,1,1,0,0
Brazil,1,F1,402,2,M,45.8333333333333,1,1,1,0,3
Brazil,1,G1,421,1,L,8,0,1,1,0,1
Brazil,1,G1,422,1,L,17,1,1,1,0,3
Brazil,1,G1,422,2,L,4,1,1,1,0,1
Brazil,1,G1,423,1,L,20,1,1,1,0,2
Brazil,1,G1,423,2,L,12.5,0,1,1,0,1
Brazil,1,G1,424,1,L,9,1,1,1,0,3
Brazil,1,G1,424,2,L,6,0,1,1,0,3
Brazil,1,G1,425,1,L,28,1,1,1,0,3
Brazil,1,G1,425,2,L,30,0,1,1,0,3
Brazil,1,G1,426,1,L,0,1,1,1,0,0
Brazil,1,G1,426,2,L,0,1,1,1,0,0
Brazil,1,H1,433,1,V,32.5,1,1,1,0,3
Brazil,1,H1,433,2,V,25,1,1,1,0,3
Brazil,1,H1,434,1,V,14,1,1,1,0,2
Brazil,1,H1,434,2,V,16,1,1,1,0,2
Brazil,1,H1,435,1,V,2,1,1,1,0,1
Brazil,1,H1,435,2,V,10,0,1,1,0,2
Brazil,1,H1,436,1,V,4,1,1,1,0,1
Brazil,1,H1,436,2,V,3.5,1,1,1,0,1
Brazil,1,H1,437,1,V,3.5,1,1,1,0,2
Brazil,1,H1,437,2,V,3.33333333333333,1,1,1,0,2
Brazil,1,H1,452,1,V,18,1,1,1,0,2
Brazil,1,H1,452,2,V,23.3333333333333,1,1,1,0,2
Brazil,2,A2,382,1,V,28,1,3,0,0,2
Brazil,2,A2,382,2,V,13.5714285714286,1,3,0,0,2
Brazil,2,A2,384,1,M,42.5,1,3,0,0,2
Brazil,2,A2,384,2,M,42.5,1,3,0,0,2
Brazil,2,A2,449,1,V,33.2,1,3,0,0,3
Brazil,2,A2,449,2,V,24.25,1,3,0,0,4
Brazil,2,A2,494,1,L,0,1,3,0,0,0
Brazil,2,A2,494,2,L,2,0,3,0,0,2
Brazil,2,A2,495,1,L,3,0,3,0,0,1
Brazil,2,B2,355,1,M,50,0,1,0,0,1
Brazil,2,B2,357,1,M,0,1,1,0,0,0
Brazil,2,B2,357,2,M,29,1,1,0,0,2
Brazil,2,C2,367,1,L,0,1,1,0,0,0
Brazil,2,C2,367,2,L,0,1,1,0,0,0
Brazil,2,C2,369,1,L,0,1,1,0,0,0
Brazil,2,C2,369,2,L,2,0,1,0,0,1
Brazil,2,C2,370,1,L,12,1,1,0,0,2
Brazil,2,C2,370,2,L,12,0,1,0,0,2
Brazil,2,C2,372,1,L,4.33333333333333,1,1,0,0,2
Brazil,2,C2,372,2,L,5.66666666666667,1,1,0,0,3
Brazil,2,C2,446,1,L,7,1,1,0,0,3
Brazil,2,C2,446,2,L,10,1,1,0,0,1
Brazil,2,D2,385,1,V,0,1,1,0,0,0
Brazil,2,D2,385,2,V,15.25,1,1,0,0,3
Brazil,2,D2,386,1,V,0,1,1,0,0,0
Brazil,2,D2,386,2,V,4.5,1,1,0,0,2
Brazil,2,D2,387,1,V,0,1,1,0,0,0
Brazil,2,D2,387,2,V,13.7142857142857,1,1,0,0,3
Brazil,2,D2,388,1,V,0,1,1,0,0,0
Brazil,2,D2,388,2,V,25.3333333333333,1,1,0,0,2
Brazil,2,D2,389,1,V,0,1,1,0,0,0
Brazil,2,D2,389,2,V,12,1,1,0,0,2
Brazil,2,D2,450,1,V,0,1,1,0,0,0
Brazil,2,D2,450,2,V,15.6666666666667,1,1,0,0,3
Brazil,2,E2,393,1,V,0,1,3,1,0,0
Brazil,2,E2,393,2,V,14,1,3,1,0,1
Brazil,2,E2,394,1,V,0,1,3,1,0,0
Brazil,2,E2,394,2,V,26,0,3,1,0,2
Brazil,2,E2,396,1,M,0,1,3,1,0,0
Brazil,2,E2,396,2,M,16.6666666666667,1,3,1,0,2
Brazil,2,F2,362,1,M,0,1,1,1,0,0
Brazil,2,F2,362,2,M,0,1,1,1,0,0
Brazil,2,F2,363,1,M,14.5,0,1,1,0,3
Brazil,2,F2,365,1,M,50,1,1,1,0,2
Brazil,2,F2,365,2,M,0,1,1,1,0,0
Brazil,2,F2,498,1,M,60,0,1,1,0,2
Brazil,2,G2,373,1,L,11,1,1,1,0,2
Brazil,2,G2,373,2,L,9.66666666666667,1,1,1,0,2
Brazil,2,G2,376,1,L,9.72727272727273,1,1,1,0,4
Brazil,2,G2,376,2,L,13.1428571428571,1,1,1,0,4
Brazil,2,G2,378,1,L,3.33333333333333,0,1,1,0,2
Brazil,2,G2,447,1,L,18,1,1,1,0,5
Brazil,2,G2,447,2,L,18,0,1,1,0,5
Brazil,2,G2,448,1,L,55,0,1,1,0,4
Brazil,2,H2,349,1,V,12,1,1,1,0,2
Brazil,2,H2,349,2,V,14.5,0,1,1,0,2
Brazil,2,H2,350,1,V,23.5,1,1,1,0,5
Brazil,2,H2,350,2,V,26.75,0,1,1,0,4
Brazil,2,H2,351,1,V,2,0,1,1,0,1
Brazil,2,H2,352,1,V,29.875,1,1,1,0,4
Brazil,2,H2,352,2,V,25.8888888888889,1,1,1,0,3
Brazil,2,H2,353,1,V,30,1,1,1,0,1
Brazil,2,H2,353,2,V,70,0,1,1,0,1
Brazil,2,H2,354,1,V,0,1,1,1,0,0
Brazil,2,H2,354,2,V,4,0,1,1,0,1
Brazil,3,A3,309,1,V,0,1,3,0,0,0
Brazil,3,A3,309,2,V,22.6,1,3,0,0,3
Brazil,3,A3,310,1,L,0,1,3,0,0,0
Brazil,3,A3,310,2,L,1,0,3,0,0,1
Brazil,3,A3,312,1,M,0,1,3,0,0,0
Brazil,3,A3,312,2,M,21,0,3,0,0,2
Brazil,3,A3,500,1,M,0,1,3,0,0,0
Brazil,3,A3,500,2,M,12,1,3,0,0,2
Brazil,3,B3,320,1,M,0,1,1,0,0,0
Brazil,3,B3,320,2,M,2,0,1,0,0,1
Brazil,3,C3,337,1,L,0,1,1,0,0,0
Brazil,3,C3,337,2,L,9,0,1,0,0,1
Brazil,3,C3,338,1,L,17,1,1,0,0,4
Brazil,3,C3,338,2,L,17,0,1,0,0,4
Brazil,3,C3,341,1,L,0,1,1,0,0,0
Brazil,3,C3,341,2,L,50,0,1,0,0,2
Brazil,3,C3,342,1,L,4,1,1,0,0,1
Brazil,3,C3,342,2,L,8.66666666666667,0,1,0,0,2
Brazil,3,C3,496,1,L,3,1,1,0,0,1
Brazil,3,C3,496,2,L,3,0,1,0,0,1
Brazil,3,C3,497,1,L,6,1,1,0,0,1
Brazil,3,C3,497,2,L,6,0,1,0,0,2
Brazil,3,D3,313,1,V,0,1,1,0,0,0
Brazil,3,D3,313,2,V,9.5,0,1,0,0,3
Brazil,3,D3,314,1,V,0,1,1,0,0,0
Brazil,3,D3,314,2,V,36.3333333333333,0,1,0,0,3
Brazil,3,D3,315,1,V,0,1,1,0,0,0
Brazil,3,D3,315,2,V,7.4,0,1,0,0,3
Brazil,3,D3,316,1,V,0,1,1,0,0,0
Brazil,3,D3,316,2,V,21.25,0,1,0,0,2
Brazil,3,D3,317,1,V,0,1,1,0,0,0
Brazil,3,D3,317,2,V,55,0,1,0,0,1
Brazil,3,D3,318,1,V,0,1,1,0,0,0
Brazil,3,D3,318,2,V,9,0,1,0,0,1
Brazil,3,E3,345,1,M,0,1,3,1,0,0
Brazil,3,E3,345,2,M,5,0,3,1,0,1
Brazil,3,E3,346,1,L,34,0,3,1,0,2
Brazil,3,E3,347,1,M,0,1,3,1,0,0
Brazil,3,E3,347,2,M,11,0,3,1,0,1
Brazil,3,E3,348,1,V,12.3333333333333,1,3,1,0,2
Brazil,3,E3,348,2,V,18.2222222222222,0,3,1,0,3
Brazil,3,F3,301,1,M,0,1,1,1,0,0
Brazil,3,F3,301,2,M,3.33333333333333,1,1,1,0,3
Brazil,3,F3,302,1,M,0,1,1,1,0,0
