site,block,plot,species,plant_code,date,herb,surv_next,div,clone,flood
Brazil,1,A1,L,427,1,25,1,3,clone,no
Brazil,1,A1,L,432,1,0,0,3,clone,no
Brazil,1,A1,M,428,1,18,1,3,clone,no
Brazil,1,A1,M,429,1,16.3333333333333,1,3,clone,no
Brazil,1,A1,V,430,1,19.2,1,3,clone,no
Brazil,1,A1,V,431,1,12.5,1,3,clone,no
Brazil,2,A2,L,494,1,0,1,3,clone,no
Brazil,2,A2,L,495,1,3,0,3,clone,no
Brazil,2,A2,M,384,1,42.5,1,3,clone,no
Brazil,2,A2,V,382,1,28,1,3,clone,no
Brazil,2,A2,V,449,1,33.2,1,3,clone,no
Brazil,3,A3,L,310,1,0,1,3,clone,no
Brazil,3,A3,M,312,1,0,1,3,clone,no
Brazil,3,A3,M,500,1,0,1,3,clone,no
Brazil,3,A3,V,309,1,0,1,3,clone,no
Brazil,1,B1,M,413,1,0,1,1,clone,no
Brazil,1,B1,M,415,1,14.3333333333333,1,1,clone,no
Brazil,1,B1,M,417,1,24,1,1,clone,no
Brazil,1,B1,M,418,1,0,1,1,clone,no
Brazil,1,B1,M,419,1,0,1,1,clone,no
Brazil,1,B1,M,420,1,27,1,1,clone,no
Brazil,2,B2,M,355,1,50,0,1,clone,no
Brazil,2,B2,M,357,1,0,1,1,clone,no
Brazil,3,B3,M,320,1,0,1,1,clone,no
Brazil,1,C1,L,439,1,5,1,1,clone,no
Brazil,1,C1,L,440,1,13,1,1,clone,no
Brazil,1,C1,L,441,1,9.2,1,1,clone,no
Brazil,1,C1,L,442,1,0,1,1,clone,no
Brazil,2,C2,L,367,1,0,1,1,clone,no
Brazil,2,C2,L,369,1,0,1,1,clone,no
Brazil,2,C2,L,370,1,12,1,1,clone,no
Brazil,2,C2,L,372,1,4.33333333333333,1,1,clone,no
Brazil,2,C2,L,446,1,7,1,1,clone,no
Brazil,3,C3,L,337,1,0,1,1,clone,no
Brazil,3,C3,L,338,1,17,1,1,clone,no
Brazil,3,C3,L,341,1,0,1,1,clone,no
Brazil,3,C3,L,342,1,4,1,1,clone,no
Brazil,3,C3,L,496,1,3,1,1,clone,no
Brazil,3,C3,L,497,1,6,1,1,clone,no
Brazil,1,D1,V,404,1,0,1,1,clone,no
Brazil,1,D1,V,405,1,18,1,1,clone,no
Brazil,1,D1,V,406,1,0,1,1,clone,no
Brazil,1,D1,V,408,1,0,1,1,clone,no
Brazil,1,D1,V,453,1,11.3333333333333,1,1,clone,no
Brazil,1,D1,V,454,1,0,1,1,clone,no
Brazil,1,D1,V,455,1,18,1,1,clone,no
Brazil,2,D2,V,385,1,0,1,1,clone,no
Brazil,2,D2,V,386,1,0,1,1,clone,no
Brazil,2,D2,V,387,1,0,1,1,clone,no
Brazil,2,D2,V,388,1,0,1,1,clone,no
Brazil,2,D2,V,389,1,0,1,1,clone,no
Brazil,2,D2,V,450,1,0,1,1,clone,no
Brazil,3,D3,V,313,1,0,1,1,clone,no
Brazil,3,D3,V,314,1,0,1,1,clone,no
Brazil,3,D3,V,315,1,0,1,1,clone,no
Brazil,3,D3,V,316,1,0,1,1,clone,no
Brazil,3,D3,V,317,1,0,1,1,clone,no
Brazil,3,D3,V,318,1,0,1,1,clone,no
Brazil,1,E1,L,409,1,0,1,3,ind,no
Brazil,1,E1,L,411,1,3,1,3,ind,no
Brazil,1,E1,M,451,1,50,1,3,ind,no
Brazil,1,E1,V,412,1,27.4,1,3,ind,no
Brazil,1,E1,V,445,1,0,1,3,ind,no
Brazil,2,E2,M,396,1,0,1,3,ind,no
Brazil,2,E2,V,393,1,0,1,3,ind,no
Brazil,2,E2,V,394,1,0,1,3,ind,no
Brazil,3,E3,L,346,1,34,0,3,ind,no
Brazil,3,E3,M,345,1,0,1,3,ind,no
Brazil,3,E3,M,347,1,0,1,3,ind,no
Brazil,3,E3,V,348,1,12.3333333333333,1,3,ind,no
Brazil,1,F1,M,397,1,0,1,1,ind,no
Brazil,1,F1,M,398,1,0,1,1,ind,no
Brazil,1,F1,M,401,1,0,1,1,ind,no
Brazil,1,F1,M,402,1,0,1,1,ind,no
Brazil,2,F2,M,362,1,0,1,1,ind,no
Brazil,2,F2,M,363,1,14.5,0,1,ind,no
Brazil,2,F2,M,365,1,50,1,1,ind,no
Brazil,2,F2,M,498,1,60,0,1,ind,no
Brazil,3,F3,M,301,1,0,1,1,ind,no
Brazil,3,F3,M,302,1,0,1,1,ind,no
Brazil,3,F3,M,303,1,0,1,1,ind,no
Brazil,3,F3,M,304,1,4.5,1,1,ind,no
Brazil,3,F3,M,305,1,0,1,1,ind,no
Brazil,3,F3,M,308,1,0,1,1,ind,no
Brazil,1,G1,L,421,1,8,0,1,ind,no
Brazil,1,G1,L,422,1,17,1,1,ind,no
Brazil,1,G1,L,423,1,20,1,1,ind,no
Brazil,1,G1,L,424,1,9,1,1,ind,no
Brazil,1,G1,L,425,1,28,1,1,ind,no
Brazil,1,G1,L,426,1,0,1,1,ind,no
Brazil,2,G2,L,373,1,11,1,1,ind,no
Brazil,2,G2,L,376,1,9.72727272727273,1,1,ind,no
Brazil,2,G2,L,378,1,3.33333333333333,0,1,ind,no
Brazil,2,G2,L,447,1,18,1,1,ind,no
Brazil,2,G2,L,448,1,55,0,1,ind,no
Brazil,3,G3,L,331,1,1,0,1,ind,no
Brazil,3,G3,L,332,1,0,1,1,ind,no
Brazil,3,G3,L,335,1,0,1,1,ind,no
Brazil,3,G3,L,336,1,4,1,1,ind,no
Brazil,1,H1,V,433,1,32.5,1,1,ind,no
Brazil,1,H1,V,434,1,14,1,1,ind,no
Brazil,1,H1,V,435,1,2,1,1,ind,no
Brazil,1,H1,V,436,1,4,1,1,ind,no
Brazil,1,H1,V,437,1,3.5,1,1,ind,no
Brazil,1,H1,V,452,1,18,1,1,ind,no
Brazil,2,H2,V,349,1,12,1,1,ind,no
Brazil,2,H2,V,350,1,23.5,1,1,ind,no
Brazil,2,H2,V,351,1,2,0,1,ind,no
Brazil,2,H2,V,352,1,29.875,1,1,ind,no
Brazil,2,H2,V,353,1,30,1,1,ind,no
Brazil,2,H2,V,354,1,0,1,1,ind,no
Brazil,3,H3,V,325,1,0,1,1,ind,no
Brazil,3,H3,V,326,1,0,1,1,ind,no
Brazil,3,H3,V,327,1,0,1,1,ind,no
Brazil,3,H3,V,329,1,0,1,1,ind,no
Brazil,1,A1,L,427,2,25,0,3,clone,no
Brazil,1,A1,L,432,2,NA,0,3,clone,no
Brazil,1,A1,M,428,2,16,0,3,clone,no
Brazil,1,A1,M,429,2,16.3333333333333,1,3,clone,no
Brazil,1,A1,V,430,2,22.2,1,3,clone,no
Brazil,1,A1,V,431,2,10.4,1,3,clone,no
Brazil,2,A2,L,494,2,2,0,3,clone,no
Brazil,2,A2,L,495,2,NA,0,3,clone,no
Brazil,2,A2,M,384,2,42.5,1,3,clone,no
Brazil,2,A2,V,382,2,13.5714285714286,1,3,clone,no
Brazil,2,A2,V,449,2,24.25,1,3,clone,no
Brazil,3,A3,L,310,2,1,0,3,clone,no
Brazil,3,A3,M,312,2,21,0,3,clone,no
Brazil,3,A3,M,500,2,12,1,3,clone,no
Brazil,3,A3,V,309,2,22.6,1,3,clone,no
Brazil,1,B1,M,413,2,2,0,1,clone,no
Brazil,1,B1,M,415,2,14.3333333333333,1,1,clone,no
Brazil,1,B1,M,417,2,24,1,1,clone,no
Brazil,1,B1,M,418,2,0,1,1,clone,no
Brazil,1,B1,M,419,2,58.3333333333333,1,1,clone,no
Brazil,1,B1,M,420,2,27,1,1,clone,no
Brazil,2,B2,M,355,2,NA,0,1,clone,no
Brazil,2,B2,M,357,2,29,1,1,clone,no
Brazil,3,B3,M,320,2,2,0,1,clone,no
Brazil,1,C1,L,439,2,5,0,1,clone,no
Brazil,1,C1,L,440,2,14,0,1,clone,no
Brazil,1,C1,L,441,2,13,1,1,clone,no
Brazil,1,C1,L,442,2,10,0,1,clone,no
Brazil,2,C2,L,367,2,0,1,1,clone,no
Brazil,2,C2,L,369,2,2,0,1,clone,no
Brazil,2,C2,L,370,2,12,0,1,clone,no
Brazil,2,C2,L,372,2,5.66666666666667,1,1,clone,no
Brazil,2,C2,L,446,2,10,1,1,clone,no
Brazil,3,C3,L,337,2,9,0,1,clone,no
Brazil,3,C3,L,338,2,17,0,1,clone,no
Brazil,3,C3,L,341,2,50,0,1,clone,no
Brazil,3,C3,L,342,2,8.66666666666667,0,1,clone,no
Brazil,3,C3,L,496,2,3,0,1,clone,no
Brazil,3,C3,L,497,2,6,0,1,clone,no
Brazil,1,D1,V,404,2,50,1,1,clone,no
Brazil,1,D1,V,405,2,18,1,1,clone,no
Brazil,1,D1,V,406,2,13.5,0,1,clone,no
