"site","block","plot","plant_code","species","div","c_i","flood","canopy_openness","experiment_final_intermediate","nlvs_per_ind","wilmer_herb_total","alat","plot_richness","dif","divf","plant","final_div","pdiv","precip","temp","pres","finalf"
"Ecuador","none","Plot 1","Planta#8","perareolatum",10,"ind","flood",NA,"final",5,6,NA,NA,NA,"high","Ecuador_Plot 1_Planta#8",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#8","perareolatum",10,"ind","flood",NA,"final",5,18,NA,NA,NA,"high","Ecuador_Plot 1_Planta#8",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#8","perareolatum",10,"ind","flood",NA,"final",5,20,NA,NA,NA,"high","Ecuador_Plot 1_Planta#8",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#8","perareolatum",10,"ind","flood",NA,"final",5,12,NA,NA,NA,"high","Ecuador_Plot 1_Planta#8",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#8","perareolatum",10,"ind","flood",NA,"final",5,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#8",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,6,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,28,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,25,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,50,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,10,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#7","ecuadorense",10,"ind","flood",NA,"final",11,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#7",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,0,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,0,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,1,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,8,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,2,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
"Ecuador","none","Plot 1","Planta#6","escabrosa",10,"ind","flood",NA,"final",19,3,NA,NA,NA,"high","Ecuador_Plot 1_Planta#6",11,1,4495,25,100,"high"
